row,timestamp,timezone,macb,source,sourcetype,type,user,host,description,filename,notes
1846,2026-02-18T09:34:07Z,UTC,MACB,FILE,NTFS $MFT,File Modified,LAB\analyst01,WIN-LAB01,"Firefox sessionstore updated","C:/Users/analyst01/AppData/Roaming/Mozilla/Firefox/Profiles/demo/sessionstore.jsonlz4","browser session"
1847,2026-02-18T09:35:19Z,UTC,MACB,LOG,Windows EventLog,Event Created,LAB\analyst01,WIN-LAB01,"Interactive user logoff","Security.evtx:4634","session ended"
1848,2026-02-18T09:36:02Z,UTC,MACB,LOG,Windows EventLog,Event Created,LAB\analyst01,WIN-LAB01,"PowerShell process created by cmd.exe","Security.evtx:4688","process powershell.exe command -nop -w hidden"
1849,2026-02-18T09:36:44Z,UTC,MACB,FILE,NTFS $MFT,File Created,LAB\analyst01,WIN-LAB01,"Invoice viewer executable present in downloads","C:/Users/Public/Downloads/invoice_viewer.exe","file presence only no execution artifact"
1850,2026-02-18T09:37:15Z,UTC,MACB,REG,Amcache Hive,Value Modified,SYSTEM,WIN-LAB01,"Amcache negative inventory note for ghosttool.exe","HKLM/Amcache/InventoryApplicationFile/{ghosttool-deny}","inventory states ghosttool.exe not installed on WIN-LAB01"
1851,2026-02-18T09:38:09Z,UTC,MACB,REG,Windows Registry,Value Modified,LAB\analyst01,WIN-LAB01,"Run key value UpdaterRun modified","HKCU/Software/Microsoft/Windows/CurrentVersion/Run/UpdaterRun","run key launches C:/ProgramData/Updater/updater.exe"
1852,2026-02-18T09:39:20Z,UTC,MACB,REG,Windows Registry,Key Modified,SYSTEM,WIN-LAB01,"TaskCache orphan entry references DailyUpdater action","HKLM/Software/Microsoft/Windows NT/CurrentVersion/Schedule/TaskCache/Tree/DailyUpdater","taskdrop.exe referenced without creation event"
1853,2026-02-18T09:40:01Z,UTC,MACB,NET,PCAP Summary,Flow Observed,LAB\analyst01,WIN-LAB01,"PCAP network connection observed","pcap/flow-summary.json","powershell.exe connected to c2.example.test 198.51.100.44:443"
1854,2026-02-18T09:40:19Z,UTC,MACB,NET,DNS Client,Query Observed,LAB\analyst01,WIN-LAB01,"DNS lookup observed","DnsClient.evtx:3008","query name cdn-update.example.test no flow record"
1855,2026-02-18T09:41:02Z,UTC,MACB,LOG,Windows EventLog,Event Created,LAB\analyst01,WIN-LAB01,"Credential access indicator","Security.evtx:4688","powershell.exe invoked comsvcs.dll MiniDump against lsass.exe"
1856,2026-02-18T09:41:38Z,UTC,MACB,AV,YARA Scan,Match Observed,SYSTEM,WIN-LAB01,"YARA hit for invoice_viewer.exe","yara:rule/EvilClaw_Packed","rule match without full sha256 hash chain"
